,광역시/도,시/군/구,차량가격,국고보조금,지방비보조금,보조금합계,예상구매가,차종,연도
0,서울,서울특별시,"5,595",800,200,"1,000","4,595",기아 EV6 (Kia EV6),2021
0,부산,부산광역시,"5,595",800,450,"1,250","4,345",기아 EV6 (Kia EV6),2021
0,대구,대구광역시,"5,595",800,450,"1,250","4,345",기아 EV6 (Kia EV6),2021
0,인천,인천광역시,"5,595",800,480,"1,280","4,315",기아 EV6 (Kia EV6),2021
0,광주,광주광역시,"5,595",800,500,"1,300","4,295",기아 EV6 (Kia EV6),2021
0,대전,대전광역시,"5,595",800,700,"1,500","4,095",기아 EV6 (Kia EV6),2021
0,울산,울산광역시,"5,595",800,550,"1,350","4,245",기아 EV6 (Kia EV6),2021
0,세종,세종특별자치시,"5,595",800,20,820,"4,775",기아 EV6 (Kia EV6),2021
0,제주,제주특별자치도,"5,595",800,450,"1,250","4,345",기아 EV6 (Kia EV6),2021
0,경기,수원시,"5,595",800,450,"1,250","4,345",기아 EV6 (Kia EV6),2021
0,경기,성남시,"5,595",800,400,"1,200","4,395",기아 EV6 (Kia EV6),2021
0,경기,의정부시,"5,595",800,400,"1,200","4,395",기아 EV6 (Kia EV6),2021
0,경기,안양시,"5,595",800,400,"1,200","4,395",기아 EV6 (Kia EV6),2021
0,경기,부천시,"5,595",800,400,"1,200","4,395",기아 EV6 (Kia EV6),2021
0,경기,광명시,"5,595",800,500,"1,300","4,295",기아 EV6 (Kia EV6),2021
0,경기,평택시,"5,595",800,500,"1,300","4,295",기아 EV6 (Kia EV6),2021
0,경기,동두천시,"5,595",800,500,"1,300","4,295",기아 EV6 (Kia EV6),2021
0,경기,안산시,"5,595",800,400,"1,200","4,395",기아 EV6 (Kia EV6),2021
0,경기,고양시,"5,595",800,400,"1,200","4,395",기아 EV6 (Kia EV6),2021
0,경기,과천시,"5,595",800,500,"1,300","4,295",기아 EV6 (Kia EV6),2021
0,경기,구리시,"5,595",800,500,"1,300","4,295",기아 EV6 (Kia EV6),2021
0,경기,남양주시,"5,595",800,400,"1,200","4,395",기아 EV6 (Kia EV6),2021
0,경기,오산시,"5,595",800,500,"1,300","4,295",기아 EV6 (Kia EV6),2021
0,경기,시흥시,"5,595",800,400,"1,200","4,395",기아 EV6 (Kia EV6),2021
0,경기,군포시,"5,595",800,400,"1,200","4,395",기아 EV6 (Kia EV6),2021
0,경기,의왕시,"5,595",800,400,"1,200","4,395",기아 EV6 (Kia EV6),2021
0,경기,하남시,"5,595",800,400,"1,200","4,395",기아 EV6 (Kia EV6),2021
0,경기,용인시,"5,595",800,400,"1,200","4,395",기아 EV6 (Kia EV6),2021
0,경기,파주시,"5,595",800,400,"1,200","4,395",기아 EV6 (Kia EV6),2021
0,경기,이천시,"5,595",800,600,"1,400","4,195",기아 EV6 (Kia EV6),2021
0,경기,안성시,"5,595",800,500,"1,300","4,295",기아 EV6 (Kia EV6),2021
0,경기,김포시,"5,595",800,450,"1,250","4,345",기아 EV6 (Kia EV6),2021
0,경기,화성시,"5,595",800,400,"1,200","4,395",기아 EV6 (Kia EV6),2021
0,경기,광주시,"5,595",800,400,"1,200","4,395",기아 EV6 (Kia EV6),2021
0,경기,양주시,"5,595",800,500,"1,300","4,295",기아 EV6 (Kia EV6),2021
0,경기,포천시,"5,595",800,500,"1,300","4,295",기아 EV6 (Kia EV6),2021
0,경기,여주시,"5,595",800,400,"1,200","4,395",기아 EV6 (Kia EV6),2021
0,경기,연천군,"5,595",800,500,"1,300","4,295",기아 EV6 (Kia EV6),2021
0,경기,가평군,"5,595",800,500,"1,300","4,295",기아 EV6 (Kia EV6),2021
0,경기,양평군,"5,595",800,500,"1,300","4,295",기아 EV6 (Kia EV6),2021
0,강원,춘천시,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,원주시,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,강릉시,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,동해시,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,태백시,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,속초시,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,삼척시,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,홍천군,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,횡성군,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,영월군,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,평창군,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,정선군,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,철원군,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,화천군,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,양구군,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,인제군,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,고성군,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,강원,양양군,"5,595",800,520,"1,320","4,275",기아 EV6 (Kia EV6),2021
0,충북,청주시,"5,595",800,800,"1,600","3,995",기아 EV6 (Kia EV6),2021
0,충북,충주시,"5,595",800,800,"1,600","3,995",기아 EV6 (Kia EV6),2021
0,충북,제천시,"5,595",800,800,"1,600","3,995",기아 EV6 (Kia EV6),2021
0,충북,보은군,"5,595",800,800,"1,600","3,995",기아 EV6 (Kia EV6),2021
0,충북,옥천군,"5,595",800,800,"1,600","3,995",기아 EV6 (Kia EV6),2021
0,충북,증평군,"5,595",800,800,"1,600","3,995",기아 EV6 (Kia EV6),2021
0,충북,영동군,"5,595",800,800,"1,600","3,995",기아 EV6 (Kia EV6),2021
0,충북,진천군,"5,595",800,800,"1,600","3,995",기아 EV6 (Kia EV6),2021
0,충북,괴산군,"5,595",800,800,"1,600","3,995",기아 EV6 (Kia EV6),2021
0,충북,음성군,"5,595",800,800,"1,600","3,995",기아 EV6 (Kia EV6),2021
0,충북,단양군,"5,595",800,800,"1,600","3,995",기아 EV6 (Kia EV6),2021
0,충남,천안시,"5,595",800,700,"1,500","4,095",기아 EV6 (Kia EV6),2021
0,충남,공주시,"5,595",800,800,"1,600","3,995",기아 EV6 (Kia EV6),2021
0,충남,보령시,"5,595",800,700,"1,500","4,095",기아 EV6 (Kia EV6),2021
0,충남,아산시,"5,595",800,700,"1,500","4,095",기아 EV6 (Kia EV6),2021
0,충남,서산시,"5,595",800,"1,000","1,800","3,795",기아 EV6 (Kia EV6),2021
0,충남,논산시,"5,595",800,700,"1,500","4,095",기아 EV6 (Kia EV6),2021
0,충남,계룡시,"5,595",800,700,"1,500","4,095",기아 EV6 (Kia EV6),2021
0,충남,당진시,"5,595",800,"1,000","1,800","3,795",기아 EV6 (Kia EV6),2021
0,충남,금산군,"5,595",800,700,"1,500","4,095",기아 EV6 (Kia EV6),2021
0,충남,부여군,"5,595",800,700,"1,500","4,095",기아 EV6 (Kia EV6),2021
0,충남,서천군,"5,595",800,700,"1,500","4,095",기아 EV6 (Kia EV6),2021
0,충남,청양군,"5,595",800,800,"1,600","3,995",기아 EV6 (Kia EV6),2021
0,충남,홍성군,"5,595",800,700,"1,500","4,095",기아 EV6 (Kia EV6),2021
0,충남,예산군,"5,595",800,700,"1,500","4,095",기아 EV6 (Kia EV6),2021
0,충남,태안군,"5,595",800,700,"1,500","4,095",기아 EV6 (Kia EV6),2021
0,전북,전주시,"5,595",800,900,"1,700","3,895",기아 EV6 (Kia EV6),2021
0,전북,군산시,"5,595",800,900,"1,700","3,895",기아 EV6 (Kia EV6),2021
0,전북,익산시,"5,595",800,900,"1,700","3,895",기아 EV6 (Kia EV6),2021
0,전북,정읍시,"5,595",800,900,"1,700","3,895",기아 EV6 (Kia EV6),2021
0,전북,남원시,"5,595",800,900,"1,700","3,895",기아 EV6 (Kia EV6),2021
0,전북,김제시,"5,595",800,900,"1,700","3,895",기아 EV6 (Kia EV6),2021
0,전북,완주군,"5,595",800,900,"1,700","3,895",기아 EV6 (Kia EV6),2021
0,전북,진안군,"5,595",800,900,"1,700","3,895",기아 EV6 (Kia EV6),2021
0,전북,무주군,"5,595",800,900,"1,700","3,895",기아 EV6 (Kia EV6),2021
0,전북,장수군,"5,595",800,900,"1,700","3,895",기아 EV6 (Kia EV6),2021
0,전북,임실군,"5,595",800,900,"1,700","3,895",기아 EV6 (Kia EV6),2021
0,전북,순창군,"5,595",800,900,"1,700","3,895",기아 EV6 (Kia EV6),2021
0,전북,고창군,"5,595",800,900,"1,700","3,895",기아 EV6 (Kia EV6),2021
0,전북,부안군,"5,595",800,900,"1,700","3,895",기아 EV6 (Kia EV6),2021
0,전남,목포시,"5,595",800,720,"1,520","4,075",기아 EV6 (Kia EV6),2021
0,전남,여수시,"5,595",800,720,"1,520","4,075",기아 EV6 (Kia EV6),2021
0,전남,순천시,"5,595",800,720,"1,520","4,075",기아 EV6 (Kia EV6),2021
0,전남,나주시,"5,595",800,960,"1,760","3,835",기아 EV6 (Kia EV6),2021
0,전남,광양시,"5,595",800,840,"1,640","3,955",기아 EV6 (Kia EV6),2021
0,전남,담양군,"5,595",800,720,"1,520","4,075",기아 EV6 (Kia EV6),2021
0,전남,곡성군,"5,595",800,840,"1,640","3,955",기아 EV6 (Kia EV6),2021
0,전남,구례군,"5,595",800,720,"1,520","4,075",기아 EV6 (Kia EV6),2021
0,전남,고흥군,"5,595",800,840,"1,640","3,955",기아 EV6 (Kia EV6),2021
0,전남,보성군,"5,595",800,740,"1,540","4,055",기아 EV6 (Kia EV6),2021
0,전남,화순군,"5,595",800,720,"1,520","4,075",기아 EV6 (Kia EV6),2021
